1.25,0,-11.877,0,,0,-42.7,0
1.26,0,-12.301,0,,0,-42.1,0
1.27,0,-12.719,0,,0,-41.55,0
1.28,0,-13.132,0,,0,-40.95,0
1.29,0,-13.538,0,,0,-40.3,0
1.3,0,-13.938,0,,0,-39.7,0
1.31,0,-14.332,0,,0,-39.05,0
1.32,0,-14.719,0,,0,-38.4,0
1.33,0,-15.1,0,,0,-37.7,0
1.34,0,-15.473,0,,0,-37,0
1.35,0,-15.84,0,,0,-36.35,0
1.36,0,-16.2,0,,0,-35.65,0
1.37,0,-16.553,0,,0,-34.95,0
1.38,0,-16.899,0,,0,-34.2,0
1.39,0,-17.237,0,,0,-33.45,0
1.4,0,-17.568,0,,0,-32.75,0
1.41,0,-17.892,0,,0,-32,0
1.42,0,-18.208,0,,0,-31.2,0
1.43,0,-18.516,0,,0,-30.45,0
1.44,0,-18.817,0,,0,-29.7,0
1.45,0,-19.11,0,,0,-28.9,0
1.46,0,-19.395,0,,0,-28.1,0
1.47,0,-19.672,0,,0,-27.35,0
1.48,0,-19.942,0,,0,-26.6,0
1.49,0,-20.204,0,,0,-25.8,0
1.5,0,-20.458,0,,0,-25,0
1.51,0,-20.704,0,,0,-24.2,0
1.52,0,-20.942,0,,0,-23.4,0
1.53,0,-21.172,0,,0,-22.65,0
1.54,0,-21.395,0,,0,-21.9,0
1.55,0,-21.61,0,,0,-21.1,0
1.56,0,-21.817,0,,0,-20.3,0
1.57,0,-22.016,0,,0,-19.55,0
1.58,0,-22.208,0,,0,-18.8,0
1.59,0,-22.392,0,,0,-18,0
1.6,0,-22.568,0,,0,-17.25,0
1.61,0,-22.737,0,,0,-16.55,0
1.62,0,-22.899,0,,0,-15.8,0
1.63,0,-23.053,0,,0,-15.05,0
1.64,0,-23.2,0,,0,-14.35,0
1.65,0,-23.34,0,,0,-13.65,0
1.66,0,-23.473,0,,0,-13,0
1.67,0,-23.6,0,,0,-12.3,0
1.68,0,-23.719,0,,0,-11.6,0
1.69,0,-23.832,0,,0,-10.95,0
1.7,0,-23.938,0,,0,-10.3,0
1.71,0,-24.038,0,,0,-9.7,0
1.72,0,-24.132,0,,0,-9.05,0
1.73,0,-24.219,0,,0,-8.45,0
1.74,0,-24.301,0,,0,-7.9,0
1.75,0,-24.377,0,,0,-7.3,0
1.76,0,-24.447,0,,0,-6.8,0
1.77,0,-24.513,0,,0,-6.25,0
1.78,0,-24.572,0,,0,-5.7,0
1.79,0,-24.627,0,,0,-5.25,0
1.8,0,-24.677,0,,0,-4.8,0
1.81,0,-24.723,0,,0,-4.35,0
1.82,0,-24.764,0,,0,-3.9,0
1.83,0,-24.801,0,,0,-3.5,0
1.84,0,-24.834,0,,0,-3.1,0
1.85,0,-24.863,0,,0,-2.7,0
1.86,0,-24.888,0,,0,-2.35,0
1.87,0,-24.91,0,,0,-2.05,0
1.88,0,-24.929,0,,0,-1.8,0
1.89,0,-24.946,0,,0,-1.5,0
1.9,0,-24.959,0,,0,-1.2,0
1.91,0,-24.97,0,,0,-1,0
1.92,0,-24.979,0,,0,-0.8,0
1.93,0,-24.986,0,,0,-0.6,0
1.94,0,-24.991,0,,0,-0.45,0
1.95,0,-24.995,0,,0,-0.3,0
1.96,0,-24.997,0,,0,-0.2,0
1.97,0,-24.999,0,,0,-0.15,0
1.98,0,-25,0,,0,-0.05,0
1.99,0,-25,0,,0,0,0
2,0,-25,0,,0,0,0
2.01,0,-25,0,,0,0,0
2.02,0,-25,0,,0,0.05,0
2.03,0,-24.999,0,,0,0.15,0
2.04,0,-24.997,0,,0,0.2,0
2.05,0,-24.995,0,,0,0.3,0
2.06,0,-24.991,0,,0,0.45,0
2.07,0,-24.986,0,,0,0.6,0
2.08,0,-24.979,0,,0,0.8,0
2.09,0,-24.97,0,,0,1,0
2.1,0,-24.959,0,,0,1.2,0
2.11,0,-24.946,0,,0,1.5,0
2.12,0,-24.929,0,,0,1.8,0
2.13,0,-24.91,0,,0,2.05,0
2.14,0,-24.888,0,,0,2.35,0
2.15,0,-24.863,0,,0,2.7,0
2.16,0,-24.834,0,,0,3.1,0
2.17,0,-24.801,0,,0,3.5,0
2.18,0,-24.764,0,,0,3.9,0
2.19,0,-24.723,0,,0,4.35,0
2.2,0,-24.677,0,,0,4.8,0
